対応章,タイトル,説明文,$
プロローグ,「始まりの出会い」,"灰の街・アインの貴族屋敷から逃げてきたメイア。
森の奥で吸血鬼に襲われそうなところを謎の青年に助けられる。",$
リート1章,「夕食の時間」,"リートの家でメイドとして働くことが決まったメイア。
しかし、リートは自分の執務室から一歩も出てくれない。",$
リート2章,「共に過ごす時」,"リートと食事を共にすることが日常となりつつなった頃。
食事の合間に二人は色々な話をする。",$
リート3章,「レインリリー」,"リートの屋敷の庭には立派な花壇があるというのに荒れ果てている。
見かねたメイアは花を植えようと画策する。",$
リート4章,「紅茶」,"レインリリーが発芽し、興奮した様子でリートに報告に行くメイア。
楽しそうに芽の話をするメイアに、リートは薔薇の紅茶を振る舞ってやる。",$
リート5章,「『黄金の血』」,"リートに頼まれ、メイアは商店街の裏通りに手紙を届けに行く。
しかし、道中で吸血鬼に襲われてしまう。",$
リート6章,「止まった歯車を」,"リートが肌見放さず持っている懐中時計。しかし、尋ねると簡単にメイアにあげてしまう。
貰った時計は針が動かず、壊れていた。",$
リート7章,「リートの友人」,"庭でレインリリーの世話をしていると見知らぬ青年が尋ねてくる。
テオドア、と名乗った柔和な青年はリートの友人であった。",$
リート8章,「はじめてのデート」,"テオドアに唆され、リートと二人で出かけることに。
初めて二人で街に出ることにメイアの心も弾んでいた。",$
リート9章,「隠された真実」,"メイアと出かけた後から体調を崩してしまったリート。
テオドアから非情な真実を知らされる。",$
リート10章,「想い」,"リートの具合を心配するメイア。
テオドアにその想いを打ち明ける。",$
リート11章,「運命の歯車は」,リートの部屋に入ると、大量の空になった薬瓶が転がっていた。,$
クライン1章,「あたりくじ」,買い出しに行くとクラインと鉢合わせる。荷物持ちを申し出て、メイアに付いてくることに。,$
クライン2章,「街でのクライン」,街に行くとクラインが沢山の人々に頼りにされている姿を見つける。頼りにされているようだ。,$
クライン3章,「レインリリー」,"リートの屋敷の庭には立派な花壇があるというのに荒れ果てている。
見かねたメイアは花を植えようと画策する。",$
クライン4章,「掴まれた手」,クラインにお菓子を渡そうと商店街を探していたメイア。しかし、前の屋敷の主人に見つかってしまう。,$
クライン5章,「クラインと観劇」,クラインに誘われた劇を共に見に行くメイア。いつもより饒舌で楽しそうなクラインが印象的。,$
クライン6章,「吸血鬼の魔の手」,商店街で吸血鬼が人を襲っているらしい。娘とはぐれた母親のため、メイアは探しに行くことに。,$
クライン7章,「真心と野菜と」,"娘を助けてくれたお礼、とメイアとクラインは母娘から大量の野菜を貰う。
料理ができないクラインに、メイアが屋敷で野菜を使った料理を振る舞ってやることに。",$
クライン8章,「『黄金の血』」,"リートに頼まれ、メイアは商店街の裏通りに手紙を届けに行く。
しかし、道中で吸血鬼に襲われてしまう。",$
クライン9章,「軋みだす歯車」,クラインの使った薬が気がかりで問いただすも、答えてくれず喧嘩のようになってしまう。,$
クライン10章,「知らされた真実」,クラインを探そうとするも、また吸血鬼に襲われてしまう。クラインが助けに来たものの、また薬を大量に使っていた。,$
クライン11章,「掴んだ剣は」,"リート達から銀蝶隊の真実、グレイの思惑を聞かされたメイア。
クラインを救うため、屋敷を飛び出す。",$
